age,gender,city,steps,sleep_hours,screen_time,calories
63.0,F,Stockholm,8022.0,7.13,1.37,1913.0
30.0,F,Malmö,8497.0,6.51,4.1,2496.0
54.0,F,Göteborg,8088.0,5.32,5.87,1959.0
30.0,M,Göteborg,7594.0,5.15,2.4,2305.0
51.0,M,Stockholm,5835.0,7.78,4.67,2104.0
55.0,M,Göteborg,7697.0,6.67,2.65,2588.0
39.0,M,Göteborg,6507.0,6.28,3.1,1937.0
,M,Malmö,5499.0,7.01,6.4,1455.0
30.0,F,Göteborg,9022.0,7.95,3.11,1593.0
21.0,M,Malmö,8782.0,7.22,4.63,1972.0
22.0,F,Stockholm,4426.0,6.21,1.46,1584.0
39.0,F,Göteborg,7754.0,8.47,6.81,2381.0
60.0,M,Stockholm,9991.0,8.9,4.75,2020.0
23.0,F,Stockholm,10118.0,7.59,3.57,3300.0
39.0,F,Malmö,10051.0,8.17,4.71,1449.0
,F,Göteborg,8077.0,8.49,1.88,2293.0
27.0,M,Stockholm,6309.0,8.36,5.9,1667.0
51.0,F,Göteborg,5832.0,7.74,3.68,1945.0
32.0,F,Malmö,8689.0,7.72,3.64,2274.0
56.0,M,Uppsala,8758.0,7.62,3.21,1165.0
45.0,F,Uppsala,10574.0,5.68,2.94,2345.0
43.0,M,Stockholm,10199.0,7.84,4.88,3089.0
26.0,M,Malmö,7735.0,5.37,4.4,1992.0
39.0,M,Stockholm,5511.0,6.05,5.16,
58.0,F,Stockholm,7361.0,8.56,4.03,2652.0
18.0,F,Malmö,8434.0,8.01,4.74,
53.0,F,Stockholm,7595.0,8.78,3.4,1932.0
41.0,M,,6844.0,6.67,7.43,1159.0
51.0,F,Göteborg,8505.0,5.62,1.61,2496.0
49.0,F,Stockholm,6992.0,6.71,5.97,2134.0
38.0,F,Göteborg,6743.0,7.12,6.15,1725.0
32.0,M,Göteborg,,7.09,2.68,2266.0
47.0,F,Stockholm,7196.0,8.36,7.4,1925.0
,M,Uppsala,8488.0,6.57,5.46,1970.0
45.0,F,Stockholm,8546.0,7.42,5.42,2481.0
22.0,F,Stockholm,5721.0,5.81,4.21,1564.0
48.0,F,Uppsala,7037.0,7.54,3.75,2657.0
47.0,,Göteborg,10875.0,7.0,3.47,1614.0
21.0,F,Malmö,5675.0,6.1,4.76,1867.0
53.0,F,Malmö,3766.0,6.72,6.42,3002.0
37.0,M,Göteborg,4276.0,6.78,4.55,2651.0
54.0,M,Stockholm,8058.0,6.68,2.63,2245.0
19.0,M,Malmö,8061.0,9.13,5.23,1778.0
26.0,M,Malmö,7764.0,6.88,5.4,1958.0
41.0,F,Göteborg,10428.0,6.71,4.8,2269.0
26.0,M,Göteborg,2654.0,4.48,5.52,2137.0
33.0,F,Uppsala,8791.0,5.93,3.53,2171.0
49.0,M,Göteborg,11122.0,6.68,,2233.0
24.0,M,Göteborg,5744.0,6.18,2.87,2070.0
49.0,M,Göteborg,7240.0,8.66,1.6,1540.0
22.0,M,Malmö,6494.0,6.8,4.47,1945.0
26.0,M,Stockholm,6211.0,8.55,4.01,2585.0
45.0,M,Malmö,7347.0,7.07,3.39,1574.0
55.0,M,Göteborg,10854.0,7.04,0.5,2158.0
26.0,F,Göteborg,11674.0,6.89,1.85,1886.0
32.0,F,Stockholm,7328.0,7.0,5.73,2240.0
61.0,F,Stockholm,11810.0,9.06,2.72,2082.0
64.0,M,Stockholm,8071.0,4.22,4.54,2866.0
45.0,F,Stockholm,11507.0,4.6,1.65,2481.0
39.0,F,Stockholm,7813.0,6.35,6.17,1607.0
34.0,F,Göteborg,8262.0,7.02,3.76,2506.0
46.0,M,Malmö,8730.0,7.83,4.38,1862.0
45.0,M,Stockholm,14357.0,7.57,7.01,2036.0
31.0,M,Malmö,9702.0,6.54,6.15,2367.0
19.0,F,Stockholm,6585.0,8.22,3.65,1957.0
25.0,F,Malmö,9937.0,8.24,2.96,2631.0
63.0,F,Stockholm,7276.0,7.22,3.57,1841.0
37.0,F,Stockholm,7020.0,8.16,4.84,1907.0
40.0,F,Stockholm,9817.0,7.33,3.71,1932.0
39.0,M,Uppsala,8062.0,6.33,3.4,1946.0
54.0,M,Stockholm,8557.0,7.84,6.16,2703.0
21.0,M,Stockholm,8027.0,7.13,3.83,2483.0
21.0,F,Malmö,8673.0,7.0,7.4,2980.0
30.0,F,Malmö,8849.0,8.77,4.07,3233.0
40.0,M,Stockholm,4126.0,4.06,6.97,1678.0
49.0,F,Göteborg,9333.0,,4.44,2252.0
41.0,F,Malmö,6035.0,5.58,5.59,1641.0
38.0,F,Uppsala,5115.0,6.56,3.13,1807.0
62.0,M,Stockholm,7883.0,6.69,2.73,1915.0
25.0,M,Göteborg,8167.0,5.19,4.68,1727.0
44.0,F,Malmö,6612.0,5.82,5.59,1706.0
43.0,M,Göteborg,9662.0,5.97,3.94,2160.0
40.0,M,Göteborg,5315.0,9.95,2.27,1612.0
55.0,M,Uppsala,7186.0,9.16,2.02,2567.0
30.0,M,Malmö,6830.0,6.51,1.95,1769.0
62.0,F,Malmö,7906.0,6.56,1.36,3463.0
33.0,M,Stockholm,,5.62,,2005.0
43.0,F,Göteborg,5984.0,4.71,5.84,2202.0
42.0,M,Göteborg,9448.0,6.86,3.87,1639.0
57.0,M,Stockholm,8126.0,5.8,0.6,2970.0
38.0,M,Stockholm,4216.0,6.9,4.0,2647.0
31.0,M,Uppsala,4082.0,5.08,4.05,2275.0
19.0,M,Stockholm,7975.0,6.09,7.15,1594.0
